SSIP,SDFP,SDFB,SFE,RFIP,CPU,APS,ABPS,SUBARP,MISS_MAC,DDOS,SLOW-RATE,MITM,TAGS
7,0.696568087549032,0,7,1,14.6,7,0,1,1,0,0,1,MITM 
7,0.828486893405308,0,7,1,23.1,6,0,2,1,0,0,1,MITM 
7,0.832993127835043,0,7,1,15.4,2,0,2,1,0,0,1,MITM 
7,0.832666399786453,0,7,1,12.5,2,0,2,1,0,0,1,MITM 
7,0.832993127835043,0,7,1,17.1,4,0,2,1,0,0,1,MITM 
7,0.832993127835043,0,7,1,43.9,4,0,2,1,0,0,1,MITM 
5,0,0,5,0.2,67.5,5,0,1,1,0,0,1,MITM 
5,0,0,5,0.2,12.5,8,0,2,1,0,0,1,MITM 
7,0,0,7,1,37.5,10,0,2,1,0,0,1,MITM 
7,0,0,7,1,15.4,10,0,2,1,0,0,1,MITM 
7,0,0,7,1,20,8,0,2,1,0,0,1,MITM 
7,0.828486893405308,0,7,1,17.5,8,0,2,1,0,0,1,MITM 
7,0.699854212223765,0,7,1,25,8,0,2,1,0,0,1,MITM 
7,0.699854212223765,0,7,1,12.5,8,0,2,1,0,0,1,MITM 
7,0.699854212223765,0,7,1,20.5,8,0,2,1,0,0,1,MITM 
7,0.699205898780101,0,7,1,23.7,8,0,2,1,0,0,1,MITM 
7,0.699205898780101,0,7,1,15,8,0,2,1,0,0,1,MITM 
7,0,0,7,1,12.2,6,0,2,1,0,0,1,MITM 
7,0,0,7,1,7.7,6,0,2,1,0,0,1,MITM 
7,0,0,7,1,10.3,6,0,2,1,0,0,1,MITM 
7,0,0,7,1,39.5,6,0,2,1,0,0,1,MITM 
