OFPST_FLOW reply (OF1.3) (xid=0x2): flags=[more]
 cookie=0x0, duration=10.222s, table=0, n_packets=1, n_bytes=54, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=7e:ac:cb:99:50:bc,dl_dst=fe:cc:75:b9:6e:9e,nw_src=41.35.88.112,nw_dst=10.20.0.10,nw_tos=0,tp_src=19549,tp_dst=80 actions=output:49
 cookie=0x0, duration=10.213s, table=0, n_packets=1, n_bytes=54, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=7e:ac:cb:99:50:bc,dl_dst=fe:cc:75:b9:6e:9e,nw_src=161.22.49.207,nw_dst=10.20.0.10,nw_tos=0,tp_src=19554,tp_dst=80 actions=output:49
 cookie=0x0, duration=10.208s, table=0, n_packets=1, n_bytes=54, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=7e:ac:cb:99:50:bc,dl_dst=fe:cc:75:b9:6e:9e,nw_src=236.233.17.177,nw_dst=10.20.0.10,nw_tos=0,tp_src=19558,tp_dst=80 actions=output:49
 cookie=0x0, duration=10.199s, table=0, n_packets=1, n_bytes=54, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=7e:ac:cb:99:50:bc,dl_dst=fe:cc:75:b9:6e:9e,nw_src=65.104.115.250,nw_dst=10.20.0.10,nw_tos=0,tp_src=19560,tp_dst=80 actions=output:49
 cookie=0x0, duration=10.187s, table=0, n_packets=1, n_bytes=54, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=7e:ac:cb:99:50:bc,dl_dst=fe:cc:75:b9:6e:9e,nw_src=5.237.99.239,nw_dst=10.20.0.10,nw_tos=0,tp_src=19565,tp_dst=80 actions=output:49
 cookie=0x0, duration=10.185s, table=0, n_packets=1, n_bytes=54, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=7e:ac:cb:99:50:bc,dl_dst=fe:cc:75:b9:6e:9e,nw_src=250.119.156.179,nw_dst=10.20.0.10,nw_tos=0,tp_src=19568,tp_dst=80 actions=output:49
 cookie=0x0, duration=10.176s, table=0, n_packets=1, n_bytes=54, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=7e:ac:cb:99:50:bc,dl_dst=fe:cc:75:b9:6e:9e,nw_src=91.206.116.203,nw_dst=10.20.0.10,nw_tos=0,tp_src=19571,tp_dst=80 actions=output:49
 cookie=0x0, duration=10.164s, table=0, n_packets=1, n_bytes=54, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=7e:ac:cb:99:50:bc,dl_dst=fe:cc:75:b9:6e:9e,nw_src=61.21.176.83,nw_dst=10.20.0.10,nw_tos=0,tp_src=19576,tp_dst=80 actions=output:49
 cookie=0x0, duration=10.152s, table=0, n_packets=1, n_bytes=54, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=7e:ac:cb:99:50:bc,dl_dst=fe:cc:75:b9:6e:9e,nw_src=9.83.245.219,nw_dst=10.20.0.10,nw_tos=0,tp_src=19577,tp_dst=80 actions=output:49
 cookie=0x0, duration=10.139s, table=0, n_packets=1, n_bytes=54, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=7e:ac:cb:99:50:bc,dl_dst=fe:cc:75:b9:6e:9e,nw_src=9.84.77.22,nw_dst=10.20.0.10,nw_tos=0,tp_src=19578,tp_dst=80 actions=output:49
 cookie=0x0, duration=10.132s, table=0, n_packets=1, n_bytes=54, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=7e:ac:cb:99:50:bc,dl_dst=fe:cc:75:b9:6e:9e,nw_src=132.12.230.50,nw_dst=10.20.0.10,nw_tos=0,tp_src=19587,tp_dst=80 actions=output:49
 cookie=0x0, duration=9.934s, table=0, n_packets=1, n_bytes=54, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=7e:ac:cb:99:50:bc,dl_dst=fe:cc:75:b9:6e:9e,nw_src=81.125.147.1,nw_dst=10.20.0.10,nw_tos=0,tp_src=19589,tp_dst=80 actions=output:49
 cookie=0x0, duration=9.934s, table=0, n_packets=1, n_bytes=54, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=7e:ac:cb:99:50:bc,dl_dst=fe:cc:75:b9:6e:9e,nw_src=127.5.88.205,nw_dst=10.20.0.10,nw_tos=0,tp_src=19590,tp_dst=80 actions=output:49
 cookie=0x0, duration=9.934s, table=0, n_packets=1, n_bytes=54, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=7e:ac:cb:99:50:bc,dl_dst=fe:cc:75:b9:6e:9e,nw_src=22.110.6.89,nw_dst=10.20.0.10,nw_tos=0,tp_src=19591,tp_dst=80 actions=output:49
 cookie=0x0, duration=9.934s, table=0, n_packets=1, n_bytes=54, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=7e:ac:cb:99:50:bc,dl_dst=fe:cc:75:b9:6e:9e,nw_src=51.29.18.168,nw_dst=10.20.0.10,nw_tos=0,tp_src=19595,tp_dst=80 actions=output:49
 cookie=0x0, duration=9.934s, table=0, n_packets=1, n_bytes=54, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=7e:ac:cb:99:50:bc,dl_dst=fe:cc:75:b9:6e:9e,nw_src=79.116.83.84,nw_dst=10.20.0.10,nw_tos=0,tp_src=19596,tp_dst=80 actions=output:49
 cookie=0x0, duration=9.934s, table=0, n_packets=1, n_bytes=54, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=7e:ac:cb:99:50:bc,dl_dst=fe:cc:75:b9:6e:9e,nw_src=243.83.131.30,nw_dst=10.20.0.10,nw_tos=0,tp_src=19598,tp_dst=80 actions=output:49
 cookie=0x0, duration=9.934s, table=0, n_packets=1, n_bytes=54, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=7e:ac:cb:99:50:bc,dl_dst=fe:cc:75:b9:6e:9e,nw_src=206.146.22.219,nw_dst=10.20.0.10,nw_tos=0,tp_src=19599,tp_dst=80 actions=output:49
 cookie=0x0, duration=9.933s, table=0, n_packets=1, n_bytes=54, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=7e:ac:cb:99:50:bc,dl_dst=fe:cc:75:b9:6e:9e,nw_src=11.45.139.169,nw_dst=10.20.0.10,nw_tos=0,tp_src=19600,tp_dst=80 actions=output:49
 cookie=0x0, duration=9.933s, table=0, n_packets=1, n_bytes=54, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=7e:ac:cb:99:50:bc,dl_dst=fe:cc:75:b9:6e:9e,nw_src=192.157.185.174,nw_dst=10.20.0.10,nw_tos=0,tp_src=19601,tp_dst=80 actions=output:49
 cookie=0x0, duration=9.933s, table=0, n_packets=1, n_bytes=54, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=7e:ac:cb:99:50:bc,dl_dst=fe:cc:75:b9:6e:9e,nw_src=22.207.1.17,nw_dst=10.20.0.10,nw_tos=0,tp_src=19602,tp_dst=80 actions=output:49
 cookie=0x0, duration=9.933s, table=0, n_packets=1, n_bytes=54, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=7e:ac:cb:99:50:bc,dl_dst=fe:cc:75:b9:6e:9e,nw_src=46.131.204.4,nw_dst=10.20.0.10,nw_tos=0,tp_src=19603,tp_dst=80 actions=output:49
 cookie=0x0, duration=9.933s, table=0, n_packets=1, n_bytes=54, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=7e:ac:cb:99:50:bc,dl_dst=fe:cc:75:b9:6e:9e,nw_src=243.132.247.17,nw_dst=10.20.0.10,nw_tos=0,tp_src=19604,tp_dst=80 actions=output:49
 cookie=0x0, duration=9.933s, table=0, n_packets=1, n_bytes=54, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=7e:ac:cb:99:50:bc,dl_dst=fe:cc:75:b9:6e:9e,nw_src=131.242.141.5,nw_dst=10.20.0.10,nw_tos=0,tp_src=19605,tp_dst=80 actions=output:49
 cookie=0x0, duration=9.933s, table=0, n_packets=1, n_bytes=54, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=7e:ac:cb:99:50:bc,dl_dst=fe:cc:75:b9:6e:9e,nw_src=79.243.251.158,nw_dst=10.20.0.10,nw_tos=0,tp_src=19606,tp_dst=80 actions=output:49
 cookie=0x0, duration=9.933s, table=0, n_packets=1, n_bytes=54, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=7e:ac:cb:99:50:bc,dl_dst=fe:cc:75:b9:6e:9e,nw_src=86.244.127.254,nw_dst=10.20.0.10,nw_tos=0,tp_src=19607,tp_dst=80 actions=output:49
 cookie=0x0, duration=9.933s, table=0, n_packets=1, n_bytes=54, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=7e:ac:cb:99:50:bc,dl_dst=fe:cc:75:b9:6e:9e,nw_src=81.192.33.221,nw_dst=10.20.0.10,nw_tos=0,tp_src=19609,tp_dst=80 actions=output:49
 cookie=0x0, duration=9.932s, table=0, n_packets=1, n_bytes=54, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=7e:ac:cb:99:50:bc,dl_dst=fe:cc:75:b9:6e:9e,nw_src=127.119.47.237,nw_dst=10.20.0.10,nw_tos=0,tp_src=19613,tp_dst=80 actions=output:49
 cookie=0x0, duration=9.930s, table=0, n_packets=1, n_bytes=54, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=7e:ac:cb:99:50:bc,dl_dst=fe:cc:75:b9:6e:9e,nw_src=45.131.119.33,nw_dst=10.20.0.10,nw_tos=0,tp_src=19614,tp_dst=80 actions=output:49
 cookie=0x0, duration=9.930s, table=0, n_packets=1, n_bytes=54, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=7e:ac:cb:99:50:bc,dl_dst=fe:cc:75:b9:6e:9e,nw_src=158.190.156.245,nw_dst=10.20.0.10,nw_tos=0,tp_src=19615,tp_dst=80 actions=output:49
 cookie=0x0, duration=9.902s, table=0, n_packets=1, n_bytes=54, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=7e:ac:cb:99:50:bc,dl_dst=fe:cc:75:b9:6e:9e,nw_src=93.177.201.81,nw_dst=10.20.0.10,nw_tos=0,tp_src=19616,tp_dst=80 actions=output:49
 cookie=0x0, duration=9.875s, table=0, n_packets=1, n_bytes=54, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=7e:ac:cb:99:50:bc,dl_dst=fe:cc:75:b9:6e:9e,nw_src=150.177.235.33,nw_dst=10.20.0.10,nw_tos=0,tp_src=19617,tp_dst=80 actions=output:49
 cookie=0x0, duration=9.873s, table=0, n_packets=1, n_bytes=54, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=7e:ac:cb:99:50:bc,dl_dst=fe:cc:75:b9:6e:9e,nw_src=17.23.125.239,nw_dst=10.20.0.10,nw_tos=0,tp_src=19618,tp_dst=80 actions=output:49
