 cookie=0x0, duration=8.370s, table=0, n_packets=1, n_bytes=46, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,udp,in_port=3,vlan_tci=0x0000/0x1fff,dl_src=da:4e:09:97:37:92,dl_dst=fe:cc:75:b9:6e:9e,nw_src=10.10.0.3,nw_dst=10.50.0.12,nw_tos=0,tp_src=34765,tp_dst=80 actions=output:49
 cookie=0x0, duration=8.361s, table=0, n_packets=1, n_bytes=46, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,udp,in_port=10,vlan_tci=0x0000/0x1fff,dl_src=ee:af:1e:de:da:bf,dl_dst=36:a8:a4:cd:40:dd,nw_src=10.20.0.10,nw_dst=10.50.0.45,nw_tos=0,tp_src=37733,tp_dst=80 actions=output:50
 cookie=0x0, duration=8.327s, table=0, n_packets=1, n_bytes=46, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,udp,in_port=37,vlan_tci=0x0000/0x1fff,dl_src=b6:f6:74:06:fe:26,dl_dst=76:b5:86:df:02:a3,nw_src=10.50.0.37,nw_dst=10.60.0.37,nw_tos=0,tp_src=50137,tp_dst=80 actions=output:51
 cookie=0x0, duration=7.771s, table=0, n_packets=1, n_bytes=46, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,udp,in_port=7,vlan_tci=0x0000/0x1fff,dl_src=1e:a0:45:70:4d:ec,dl_dst=fe:cc:75:b9:6e:9e,nw_src=10.10.0.7,nw_dst=10.60.0.22,nw_tos=0,tp_src=46439,tp_dst=80 actions=output:49
 cookie=0x0, duration=7.699s, table=0, n_packets=1, n_bytes=46, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,udp,in_port=14,vlan_tci=0x0000/0x1fff,dl_src=0a:7c:f7:7c:48:ad,dl_dst=36:a8:a4:cd:40:dd,nw_src=10.20.0.14,nw_dst=10.50.0.42,nw_tos=0,tp_src=55137,tp_dst=80 actions=output:50
 cookie=0x0, duration=7.476s, table=0, n_packets=1, n_bytes=46, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,udp,in_port=38,vlan_tci=0x0000/0x1fff,dl_src=96:c9:bf:52:4e:df,dl_dst=76:b5:86:df:02:a3,nw_src=10.50.0.38,nw_dst=10.20.0.42,nw_tos=0,tp_src=44022,tp_dst=80 actions=output:51
 cookie=0x0, duration=7.401s, table=0, n_packets=1, n_bytes=46, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,udp,in_port=8,vlan_tci=0x0000/0x1fff,dl_src=32:e8:ba:2c:6d:18,dl_dst=fe:cc:75:b9:6e:9e,nw_src=10.10.0.8,nw_dst=10.60.0.9,nw_tos=0,tp_src=51552,tp_dst=80 actions=output:49
 cookie=0x0, duration=7.400s, table=0, n_packets=1, n_bytes=46, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,udp,in_port=8,vlan_tci=0x0000/0x1fff,dl_src=32:e8:ba:2c:6d:18,dl_dst=fe:cc:75:b9:6e:9e,nw_src=10.10.0.8,nw_dst=10.20.0.19,nw_tos=0,tp_src=36194,tp_dst=80 actions=output:49
 cookie=0x0, duration=7.397s, table=0, n_packets=1, n_bytes=46, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,udp,in_port=8,vlan_tci=0x0000/0x1fff,dl_src=32:e8:ba:2c:6d:18,dl_dst=fe:cc:75:b9:6e:9e,nw_src=10.10.0.8,nw_dst=10.60.0.33,nw_tos=0,tp_src=53237,tp_dst=80 actions=output:49
 cookie=0x0, duration=7.363s, table=0, n_packets=1, n_bytes=46, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,udp,in_port=3,vlan_tci=0x0000/0x1fff,dl_src=da:4e:09:97:37:92,dl_dst=fe:cc:75:b9:6e:9e,nw_src=10.10.0.3,nw_dst=10.50.0.21,nw_tos=0,tp_src=55301,tp_dst=80 actions=output:49
 cookie=0x0, duration=7.362s, table=0, n_packets=1, n_bytes=46, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,udp,in_port=10,vlan_tci=0x0000/0x1fff,dl_src=ee:af:1e:de:da:bf,dl_dst=36:a8:a4:cd:40:dd,nw_src=10.20.0.10,nw_dst=10.10.0.31,nw_tos=0,tp_src=35314,tp_dst=80 actions=output:50
 cookie=0x0, duration=7.303s, table=0, n_packets=1, n_bytes=46, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,udp,in_port=9,vlan_tci=0x0000/0x1fff,dl_src=c6:5b:21:9f:e2:b7,dl_dst=36:a8:a4:cd:40:dd,nw_src=10.20.0.9,nw_dst=10.50.0.13,nw_tos=0,tp_src=46901,tp_dst=80 actions=output:50
 cookie=0x0, duration=7.299s, table=0, n_packets=1, n_bytes=46, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,udp,in_port=9,vlan_tci=0x0000/0x1fff,dl_src=c6:5b:21:9f:e2:b7,dl_dst=36:a8:a4:cd:40:dd,nw_src=10.20.0.9,nw_dst=10.10.0.46,nw_tos=0,tp_src=45806,tp_dst=80 actions=output:50
 cookie=0x0, duration=6.850s, table=0, n_packets=1, n_bytes=46, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,udp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=52:d9:23:9c:af:d4,dl_dst=fe:cc:75:b9:6e:9e,nw_src=10.10.0.1,nw_dst=10.50.0.8,nw_tos=0,tp_src=52652,tp_dst=80 actions=output:49
 cookie=0x0, duration=6.771s, table=0, n_packets=1, n_bytes=46, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,udp,in_port=7,vlan_tci=0x0000/0x1fff,dl_src=1e:a0:45:70:4d:ec,dl_dst=fe:cc:75:b9:6e:9e,nw_src=10.10.0.7,nw_dst=10.20.0.12,nw_tos=0,tp_src=38935,tp_dst=80 actions=output:49
